model_sel,sample_id,plaintext,correct_cipher,fault_cipher,diff,diff_nonzero_count,diff_positions,first_diff_byte,diff_hw_sum,group_tag,is_good_candidate
0,0,00112233445566778899aabbccddeeff,8df4e9aac5c7573a27d8d055d6e4d64b,8df4e90fc5c76b3a2792d0550fe4d64b,000000a500003c00004a0000d9000000,4,"3,6,9,12",3,16,3_6_9_12,True
0,1,00112233445566778899aabbccddef00,c4b47123e73eadfaf5080c62c40d7e71,c4447123e33eadfaf5080c08c40d9a71,00f00000040000000000006a0000e400,4,"1,4,11,14",1,13,1_4_11_14,True
0,2,00112233445566778899aabbccddef01,726446284320424e9dfde3b5416de1bb,7264c9284382424e1dfde3b5416de19e,00008f0000a200008000000000000025,4,"2,5,8,15",2,12,2_5_8_15,True
0,3,00112233445566778899aabbccddef02,9a43d7aa8b0872452f62dfa88db51cae,9a4327aa8b5d72453662dfa88db51c47,0000f0000055000019000000000000e9,4,"2,5,8,15",2,16,2_5_8_15,True
0,4,00112233445566778899aabbccddef03,6aedfa5a50c29d250e0598c8592d0cc2,6aed655a50449d25250598c8592d0ceb,00009f00008600002b00000000000029,4,"2,5,8,15",2,16,2_5_8_15,True
0,5,00112233445566778899aabbccddef04,044aa33faa34e887fc5755d080e62fdf,044aa314aa34ca87fcd655d083e62fdf,0000002b000022000081000003000000,4,"3,6,9,12",3,10,3_6_9_12,True
0,6,00112233445566778899aabbccddef05,158b7fc5a111acd871b0071cf9cc2804,158b7f85a111ced87145071cefcc2804,000000400000620000f5000016000000,4,"3,6,9,12",3,13,3_6_9_12,True
0,7,00112233445566778899aabbccddef06,da4e180e1e4461cfb8c7cace5bcf3b26,da08180eba4461cfb8c7ca3c5bcf1926,00460000a4000000000000f200002200,4,"1,4,11,14",1,13,1_4_11_14,True
0,8,00112233445566778899aabbccddef07,58f2062b1604e7fc167402c172aa9f5f,a2f2062b1604e7c7167411c1722c9f5f,fa0000000000003b0000130000860000,4,"0,7,10,13",0,17,0_7_10_13,True
0,9,00112233445566778899aabbccddef08,62b1f6b3b2db82f9a7a69cf03745d571,62b1f3b3b2e282f9d5a69cf03745d57f,0000050000390000720000000000000e,4,"2,5,8,15",2,13,2_5_8_15,True
0,10,00112233445566778899aabbccddef09,3610ff29d60d8269bcc9f2e107833203,8310ff29d60d82debcc96ae107b13203,b5000000000000b70000980000320000,4,"0,7,10,13",0,17,0_7_10_13,True
0,11,00112233445566778899aabbccddef0a,a73e5320b98ac82c343025ceeb50cd4d,a73e53d7b98a5c2c349225cef950cd4d,000000f70000940000a2000012000000,4,"3,6,9,12",3,15,3_6_9_12,True
0,12,00112233445566778899aabbccddef0b,6a454ebaa76551d3bf14416a02049b60,6a0a4eba4f6551d3bf14410b02049a60,004f0000e80000000000006100000100,4,"1,4,11,14",1,13,1_4_11_14,True
0,13,00112233445566778899aabbccddef0c,1a746f5d510a3db6a64a1334d85814fd,1a746ff9510ae6b6a6f813349f5814fd,000000a40000db0000b2000047000000,4,"3,6,9,12",3,17,3_6_9_12,True
0,14,00112233445566778899aabbccddef0d,291aeafeb41686cf3e0c6a6e9f07a946,297beafe051686cf3e0c6a7f9f074746,00610000b1000000000000110000ee00,4,"1,4,11,14",1,15,1_4_11_14,True
0,15,00112233445566778899aabbccddef0e,ac78f24911c031ba42f1c15134d38509,ac780149114531bacff1c15134d38575,0000f300008500008d0000000000007c,4,"2,5,8,15",2,18,2_5_8_15,True
0,16,00112233445566778899aabbccddef0f,5400a4bc70305f0239220b22e7dfb5e0,541ea4bc49305f0239220b76e7df7be0,001e000039000000000000540000ce00,4,"1,4,11,14",1,16,1_4_11_14,True
0,17,00112233445566778899aabbccddef10,d40b374a40c51f3f55207abfd430fdf7,d494374ae9c51f3f55207a81d4301cf7,009f0000a90000000000003e0000e100,4,"1,4,11,14",1,19,1_4_11_14,True
0,18,00112233445566778899aabbccddef11,497040958c1bc99e2f9455ff98051b6d,4970a2958ce1c99e3e9455ff98051b50,0000e20000fa0000110000000000003d,4,"2,5,8,15",2,17,2_5_8_15,True
0,19,00112233445566778899aabbccddef12,e5642d2473f63c60e23fb3c7d2e4460a,e5642d4d73f6d860e2f3b3c707e4460a,000000690000e40000cc0000d5000000,4,"3,6,9,12",3,17,3_6_9_12,True
0,20,00112233445566778899aabbccddef13,a1672ddde52c8bf5a635cbbacab214ce,a1002dddcb2c8bf5a635cb5bcab2bbce,006700002e000000000000e10000af00,4,"1,4,11,14",1,19,1_4_11_14,True
0,21,00112233445566778899aabbccddef14,98c0153f1c0587dd14903c297bbe5e48,98c015831c0507dd14a33c29b7be5e48,000000bc0000800000330000cc000000,4,"3,6,9,12",3,14,3_6_9_12,True
0,22,00112233445566778899aabbccddef15,6754a9feb99ddb2f06adf784d37beccb,6754d4feb93adb2ff6adf784d37bec6f,00007d0000a70000f0000000000000a4,4,"2,5,8,15",2,18,2_5_8_15,True
0,23,00112233445566778899aabbccddef16,eb92053af5fa8dbe7c94037349b472c5,eb92223af52f8dbe2294037349b472c2,0000270000d500005e00000000000007,4,"2,5,8,15",2,17,2_5_8_15,True
0,24,00112233445566778899aabbccddef17,ef227d6cc8e068925ee85f58f56bac56,ef787d6c2ce068925ee85f6df56bb556,005a0000e40000000000003500001900,4,"1,4,11,14",1,15,1_4_11_14,True
0,25,00112233445566778899aabbccddef18,929278b8a5e6ddd1b6931d4957ce5681,579278b8a5e6dd83b6937e4957fa5681,c5000000000000520000630000340000,4,"0,7,10,13",0,14,0_7_10_13,True
0,26,00112233445566778899aabbccddef19,c069082254f93d8f3c512860615852a7,c069bd22545a3d8fde512860615852ef,0000b50000a30000e200000000000048,4,"2,5,8,15",2,15,2_5_8_15,True
0,27,00112233445566778899aabbccddef1a,44a33f523ec86f1342431e0eab925917,44a387523e716f1308431e0eab9259aa,0000b80000b900004a000000000000bd,4,"2,5,8,15",2,18,2_5_8_15,True
0,28,00112233445566778899aabbccddef1b,27184fe879738f9f15a1bfffd996ed2b,27184f347973c79f15a4bfff7196ed2b,000000dc0000480000050000a8000000,4,"3,6,9,12",3,12,3_6_9_12,True
0,29,00112233445566778899aabbccddef1c,bb4a9c243e9d0b7f35d130874d74c1eb,e94a9c243e9d0b4d35d132874d2ec1eb,520000000000003200000200005a0000,4,"0,7,10,13",0,11,0_7_10_13,True
0,30,00112233445566778899aabbccddef1d,fbb60b2e2e34c15607ae73fbf1d61f9f,fb4d0b2e2d34c15607ae733df1d6519f,00fb000003000000000000c600004e00,4,"1,4,11,14",1,17,1_4_11_14,True
0,31,00112233445566778899aabbccddef1e,41804b43e6f63a54a9ec4866dfc19d24,ea804b43e6f63a8aa9ec2e66df999d24,ab000000000000de0000660000580000,4,"0,7,10,13",0,18,0_7_10_13,True
0,32,00112233445566778899aabbccddef1f,e1b46d3c2c9b119e2ab129262daf339b,e1066d3c3f9b119e2ab129672daf359b,00b20000130000000000004100000600,4,"1,4,11,14",1,11,1_4_11_14,True
0,33,00112233445566778899aabbccddef20,6f1ff61766e6061264a7c5b7cd8d0025,6f1ff6c066e63d1264abc5b7d58d0025,000000d700003b00000c000018000000,4,"3,6,9,12",3,15,3_6_9_12,True
0,34,00112233445566778899aabbccddef21,cdaedf7ca70e295fdd90667666a857e9,cdaedf2ba70e2c5fdd6866762fa857e9,000000570000050000f8000049000000,4,"3,6,9,12",3,15,3_6_9_12,True
0,35,00112233445566778899aabbccddef22,f9f53577bbda4e1951e0f2b27eb87901,6cf53577bbda4e3251e05fb27e017901,950000000000002b0000ad0000b90000,4,"0,7,10,13",0,18,0_7_10_13,True
0,36,00112233445566778899aabbccddef23,4b95f9d793fee52266df59323824686b,4695f9d793fee5e766df283238ae686b,0d000000000000c500007100008a0000,4,"0,7,10,13",0,14,0_7_10_13,True
0,37,00112233445566778899aabbccddef24,7b4caf3a85efea4fde7e329d75f3323a,d24caf3a85efea40de7efe9d75af323a,a90000000000000f0000cc00005c0000,4,"0,7,10,13",0,16,0_7_10_13,True
0,38,00112233445566778899aabbccddef25,d30da79e20ff062bd9529affdaa7d98c,d342a79e4fff062bd9529a4edaa7c28c,004f00006f000000000000b100001b00,4,"1,4,11,14",1,19,1_4_11_14,True
0,39,00112233445566778899aabbccddef26,93f4c259c08c062d5f476d021a8eb415,9309c259b58c062d5f476ddd1a8e0a15,00fd000075000000000000df0000be00,4,"1,4,11,14",1,25,1_4_11_14,True
0,40,00112233445566778899aabbccddef27,ad976d32ed7679f47f6c59f4252fdff0,ad976d88ed7699f47ff159f4bd2fdff0,000000ba0000e000009d000098000000,4,"3,6,9,12",3,16,3_6_9_12,True
0,41,00112233445566778899aabbccddef28,eacb743d704fdc749b1fb3ff4e8eb65f,ea37743d134fdc749b1fb3434e8ea85f,00fc000063000000000000bc00001e00,4,"1,4,11,14",1,19,1_4_11_14,True
0,42,00112233445566778899aabbccddef29,70817be7592c4fb63a780ca9f32d3983,7081c3e759ed4fb630780ca9f32d3905,0000b80000c100000a00000000000086,4,"2,5,8,15",2,12,2_5_8_15,True
0,43,00112233445566778899aabbccddef2a,7c33b3c5f28905dd8115452b9bff610a,4c33b3c5f28905ba8115792b9ba4610a,300000000000006700003c00005b0000,4,"0,7,10,13",0,16,0_7_10_13,True
0,44,00112233445566778899aabbccddef2b,812dd821d2183fd2df7611610aad9ece,8185d82128183fd2df7611b50aadc0ce,00a80000fa000000000000d400005e00,4,"1,4,11,14",1,18,1_4_11_14,True
0,45,00112233445566778899aabbccddef2c,78f30fe3242c9ce8e0dcbee83d4b4bc3,63f30fe3242c9c95e0dc9fe83d954bc3,1b0000000000007d0000210000de0000,4,"0,7,10,13",0,18,0_7_10_13,True
0,46,00112233445566778899aabbccddef2d,d4484e41dd88ecc57b1de13c5c3b5e84,d4f14e418e88ecc57b1de1225c3b1084,00b90000530000000000001e00004e00,4,"1,4,11,14",1,17,1_4_11_14,True
0,47,00112233445566778899aabbccddef2e,7e6f1ec4f7fde4199437f6b5c5359482,7e3f1ec47efde4199437f650c535a382,0050000089000000000000e500003700,4,"1,4,11,14",1,15,1_4_11_14,True
0,48,00112233445566778899aabbccddef2f,92d6e17a1c0931fb37027fa11ea7cc2d,92dce17a7a0931fb37027f6a1ea74d2d,000a000066000000000000cb00008100,4,"1,4,11,14",1,13,1_4_11_14,True
0,49,00112233445566778899aabbccddef30,f524ab0d0bb76114e36a2c253643923e,f924ab0d0bb761ffe36a3d253683923e,0c000000000000eb0000110000c00000,4,"0,7,10,13",0,12,0_7_10_13,True
0,50,00112233445566778899aabbccddef31,37ce5db4ba9c65747750c7119a79a6ae,37c25db4c19c65747750c75f9a792fae,000c00007b0000000000004e00008900,4,"1,4,11,14",1,15,1_4_11_14,True
0,51,00112233445566778899aabbccddef32,436a200f03705c4546bba8ace86285c5,436a20300370394546d1a8ac016285c5,0000003f00006500006a0000e9000000,4,"3,6,9,12",3,19,3_6_9_12,True
0,52,00112233445566778899aabbccddef33,2e5d2020e01c758f9455dfec59b130dc,9c5d2020e01c754c9455b2ec595230dc,b2000000000000c300006d0000e30000,4,"0,7,10,13",0,18,0_7_10_13,True
0,53,00112233445566778899aabbccddef34,a6f5e5f6628a02e614082fdc53a417a6,a6f5e538628a8be614bf2fdc8ca417a6,000000ce0000890000b70000df000000,4,"3,6,9,12",3,21,3_6_9_12,True
0,54,00112233445566778899aabbccddef35,0a8a8f499cb66dcf2ac2b58424bebc91,288a8f499cb66d5c2ac230842463bc91,22000000000000930000850000dd0000,4,"0,7,10,13",0,15,0_7_10_13,True
0,55,00112233445566778899aabbccddef36,28c22d848d6fb1238640e63f64a4faa2,28c2da848d7db123ae40e63f64a4fa64,0000f7000012000028000000000000c6,4,"2,5,8,15",2,15,2_5_8_15,True
0,56,00112233445566778899aabbccddef37,cdab73f91be6ed109791890f7d84166e,42ab73f91be6ede697912f0f7dba166e,8f000000000000f60000a600003e0000,4,"0,7,10,13",0,20,0_7_10_13,True
0,57,00112233445566778899aabbccddef38,b3c08ac300ea133a2e8e204246890e27,b3c03cc300bc133a2d8e204246890e49,0000b60000560000030000000000006e,4,"2,5,8,15",2,16,2_5_8_15,True
0,58,00112233445566778899aabbccddef39,6f2ad4478d14e48481a221e644a4e297,6f54d447f614e48481a221c344a48997,007e00007b0000000000002500006b00,4,"1,4,11,14",1,20,1_4_11_14,True
0,59,00112233445566778899aabbccddef3a,fef992639efd38ed3aed42e00b2c8d7d,fede926383fd38ed3aed42390b2cb97d,002700001d000000000000d900003400,4,"1,4,11,14",1,16,1_4_11_14,True
0,60,00112233445566778899aabbccddef3b,140535f82f5f3c1c51ab33307e854fa0,1405adf82ff03c1cfbab33307e854f1c,0000980000af0000aa000000000000bc,4,"2,5,8,15",2,18,2_5_8_15,True
0,61,00112233445566778899aabbccddef3c,09f7a122060b4e7ca7eeaa1821a80300,09f7a72206914e7cd4eeaa1821a80306,00000600009a00007300000000000006,4,"2,5,8,15",2,13,2_5_8_15,True
0,62,00112233445566778899aabbccddef3d,2757519d7e92521496c3958d0a13c708,2757512d7e926814965b958d0213c708,000000b000003a000098000008000000,4,"3,6,9,12",3,11,3_6_9_12,True
