model_sel,sample_id,plaintext,correct_cipher,fault_cipher,diff,diff_nonzero_count,diff_positions,first_diff_byte,diff_hw_sum,group_tag,is_good_candidate
1,0,00112233445566778899aabbccddf03f,74b6cfc17ad8d722cda299bdd117f128,11b6cfc17ad8d76dcda2b1bdd1cff128,650000000000004f0000280000d80000,4,"0,7,10,13",0,15,0_7_10_13,True
1,1,00112233445566778899aabbccddf040,39fb75d619e806ef512627979be82c5d,39fbd1d6199706efa32627979be82c53,0000a400007f0000f20000000000000e,4,"2,5,8,15",2,18,2_5_8_15,True
1,2,00112233445566778899aabbccddf041,95eee0db9f2cc455a8775944188f689a,9586e0db7f2cc455a877599b188fc29a,00680000e0000000000000df0000aa00,4,"1,4,11,14",1,17,1_4_11_14,True
1,3,00112233445566778899aabbccddf042,96592a3328d13cb7cf87683352f2fa8a,9659af3328853cb7ec87683352f2faa6,0000850000540000230000000000002c,4,"2,5,8,15",2,12,2_5_8_15,True
1,4,00112233445566778899aabbccddf043,2c11efcab3c6be3da8ab6a032ac00240,2c5aefca36c6be3da8ab6a1c2ac08440,004b0000850000000000001f00008600,4,"1,4,11,14",1,15,1_4_11_14,True
1,5,00112233445566778899aabbccddf044,51869533ab95bbf27c135d14f084a6ce,dc869533ab95bbf47c135f14f0aea6ce,8d0000000000000600000200002a0000,4,"0,7,10,13",0,10,0_7_10_13,True
1,6,00112233445566778899aabbccddf045,fa339be3a74e32256dba6f4360378caf,fa3380e3a7f43225a0ba6f4360378c8f,00001b0000ba0000cd00000000000020,4,"2,5,8,15",2,15,2_5_8_15,True
1,7,00112233445566778899aabbccddf046,8e0725f80973860a579dce3d916e6eba,8e5425f84d73860a579dce04916e27ba,00530000440000000000003900004900,4,"1,4,11,14",1,13,1_4_11_14,True
1,8,00112233445566778899aabbccddf047,8587dc0deefbf1c3fd3695e6cc49aaa3,8587dca9eefbeec3fd8895e6e849aaa3,000000a400001f0000be000024000000,4,"3,6,9,12",3,16,3_6_9_12,True
1,9,00112233445566778899aabbccddf048,44823dc479f6706a4363049c9aeda7a9,44823d7b79f6956a43a8049c15eda7a9,000000bf0000e50000cb00008f000000,4,"3,6,9,12",3,22,3_6_9_12,True
1,10,00112233445566778899aabbccddf049,0ca3c52211659987f036a478f115dac1,faa3c5221165993cf0365c78f19ddac1,f6000000000000bb0000f80000880000,4,"0,7,10,13",0,19,0_7_10_13,True
1,11,00112233445566778899aabbccddf04a,9ed2ca4646d7dec9298e429c92b9b14c,9e80ca460ad7dec9298e429692b9594c,005200004c0000000000000a0000e800,4,"1,4,11,14",1,12,1_4_11_14,True
1,12,00112233445566778899aabbccddf04b,57008e0d9eaaac57c77c3c5dd9c6cb40,d2008e0d9eaaacc3c77c5e5dd99acb40,850000000000009400006200005c0000,4,"0,7,10,13",0,13,0_7_10_13,True
1,13,00112233445566778899aabbccddf04c,a99e977a7fbafea591de954d293dfc58,a99ee27a7ff8fea587de954d293dfc71,00007500004200001600000000000029,4,"2,5,8,15",2,13,2_5_8_15,True
1,14,00112233445566778899aabbccddf04d,532e5f7799c9ff74cd847edb2bd621ba,532e38779978ff7437847edb2bd621ee,0000670000b10000fa00000000000054,4,"2,5,8,15",2,18,2_5_8_15,True
1,15,00112233445566778899aabbccddf04e,7c8e4fa6a18b406104490ad24625b6aa,7c8e4fa5a18b5b61049b0ad2dd25b6aa,0000000300001b0000d200009b000000,4,"3,6,9,12",3,15,3_6_9_12,True
1,16,00112233445566778899aabbccddf04f,90605e5ae1b82bfc11d21796991999bc,90fc5e5a07b82bfc11d2172699196ebc,009c0000e6000000000000b00000f700,4,"1,4,11,14",1,19,1_4_11_14,True
1,17,00112233445566778899aabbccddf050,567e2b5eddb0851e904bc180128ec9c7,567e2b4bddb0e31e90e9c180d98ec9c7,000000150000660000a20000cb000000,4,"3,6,9,12",3,15,3_6_9_12,True
1,18,00112233445566778899aabbccddf051,ec9d1faeb8b61e5aed661193ed230cf2,9d9d1faeb8b61edfed66b893edb90cf2,71000000000000850000a900009a0000,4,"0,7,10,13",0,15,0_7_10_13,True
1,19,00112233445566778899aabbccddf052,ffad1d78d194138544d591afcc62b6fa,ffadd178d1ba138532d591afcc62b623,0000cc00002e000076000000000000d9,4,"2,5,8,15",2,18,2_5_8_15,True
1,20,00112233445566778899aabbccddf053,9e33ab3480b9aaea795608637979b357,9e2bab3458b9aaea795608a779796557,00180000d8000000000000c40000d600,4,"1,4,11,14",1,14,1_4_11_14,True
1,21,00112233445566778899aabbccddf054,1b74347c8321e588773cc9f82947e65b,1b74342a832158887701c9f8b447e65b,000000560000bd00003d00009d000000,4,"3,6,9,12",3,20,3_6_9_12,True
1,22,00112233445566778899aabbccddf055,9b9e854c7721afc97b99501d13de35b1,9b9ed24c7712afc9c799501d13de3548,0000570000330000bc000000000000f9,4,"2,5,8,15",2,20,2_5_8_15,True
1,23,00112233445566778899aabbccddf056,82288c7fc8d1cde036efc200a142c45e,82288c56c8d151e036c4c200f242c45e,0000002900009c00002b000053000000,4,"3,6,9,12",3,15,3_6_9_12,True
1,24,00112233445566778899aabbccddf057,9f884169a32e522dd4026ef82dc2f6d2,9f88bb69a30c522db5026ef82dc2f6b5,0000fa00002200006100000000000067,4,"2,5,8,15",2,16,2_5_8_15,True
1,25,00112233445566778899aabbccddf058,ef65ea02d32e00887bc32fde3bc62bbd,ef65eaebd32e9f887b642fde51c62bbd,000000e900009f0000a700006a000000,4,"3,6,9,12",3,20,3_6_9_12,True
1,26,00112233445566778899aabbccddf059,6d3a99254903b57fa7ba7b596c210834,6d3199252b03b57fa7ba7b2c6c21cf34,000b000062000000000000750000c700,4,"1,4,11,14",1,16,1_4_11_14,True
1,27,00112233445566778899aabbccddf05a,3e8f45184f720a4abc4eafed04117abf,e58f45184f720a06bc4eaded047e7abf,db0000000000004c00000200006f0000,4,"0,7,10,13",0,16,0_7_10_13,True
1,28,00112233445566778899aabbccddf05b,3dbbfd274832a5d264b2d299f39bee44,3dbbfc27486fa5d2acb2d299f39beed3,00000100005d0000c800000000000097,4,"2,5,8,15",2,14,2_5_8_15,True
1,29,00112233445566778899aabbccddf05c,29a1ba6993f268ba0a4d76e107a69b15,29a1baf693f24eba0a8d76e18ea69b15,0000009f0000260000c0000089000000,4,"3,6,9,12",3,14,3_6_9_12,True
1,30,00112233445566778899aabbccddf05d,9c6d71c7c4b0912a77443d507a24da5d,116d71c7c4b09141774493507ad2da5d,8d0000000000006b0000ae0000f60000,4,"0,7,10,13",0,20,0_7_10_13,True
1,31,00112233445566778899aabbccddf05e,92120d2c3dcee573f0288851d8b0c8ce,92dc0d2c2dcee573f02888f6d8b081ce,00ce000010000000000000a700004900,4,"1,4,11,14",1,14,1_4_11_14,True
1,32,00112233445566778899aabbccddf05f,16f8224f747a087f66aff31440f64f01,16f8222e747a387f6608f314bdf64f01,000000610000300000a70000fd000000,4,"3,6,9,12",3,17,3_6_9_12,True
1,33,00112233445566778899aabbccddf060,5897074ce75d0abe28458501bf82ee45,58979d4ce7f10abee0458501bf82ee50,00009a0000ac0000c800000000000015,4,"2,5,8,15",2,14,2_5_8_15,True
1,34,00112233445566778899aabbccddf061,7195241b7585bc02a6b5ca2bc30bcabe,7195f51b7517bc02c2b5ca2bc30bca6c,0000d1000092000064000000000000d2,4,"2,5,8,15",2,14,2_5_8_15,True
1,35,00112233445566778899aabbccddf062,edf950ab5d2b00089df372fe67517743,edf971ab5d22000862f372fe67517770,0000210000090000ff00000000000033,4,"2,5,8,15",2,16,2_5_8_15,True
1,36,00112233445566778899aabbccddf063,af9cc9c12160b6f2619bf270cd08f00b,af9c52c1210fb6f2e49bf270cd08f06f,00009b00006f00008500000000000064,4,"2,5,8,15",2,17,2_5_8_15,True
1,37,00112233445566778899aabbccddf064,f5c7f16a18813a8ede555c936ef5ac0b,f5c7906a185a3a8e38555c936ef5ac4a,0000610000db0000e600000000000041,4,"2,5,8,15",2,16,2_5_8_15,True
1,38,00112233445566778899aabbccddf065,b448170bb4670cd851600dabebbf4132,2e48170bb4670c6e516037abeb054132,9a000000000000b600003a0000ba0000,4,"0,7,10,13",0,18,0_7_10_13,True
1,39,00112233445566778899aabbccddf066,ff7e37143374b516a1377f12b9656042,ffb93714eb74b516a1377f3cb9654d42,00c70000d80000000000002e00002d00,4,"1,4,11,14",1,17,1_4_11_14,True
1,40,00112233445566778899aabbccddf067,03421fc89c27327ab1526de5329d9cd5,29421fc89c273250b152e0e532289cd5,2a0000000000002a00008d0000b50000,4,"0,7,10,13",0,15,0_7_10_13,True
1,41,00112233445566778899aabbccddf068,0ac92d66da189fbee82ee6716771df7a,0ac95d66da9e9fbecd2ee6716771df27,0000700000860000250000000000005d,4,"2,5,8,15",2,14,2_5_8_15,True
1,42,00112233445566778899aabbccddf069,bdd5ddb1a59428015e24b298623c3bc5,bdd5dd03a594aa015ef0b298a53c3bc5,000000b20000820000d40000c7000000,4,"3,6,9,12",3,15,3_6_9_12,True
1,43,00112233445566778899aabbccddf06a,c7dea2986810f24cc20530af86cc8a0d,c7dea26268104e4cc29330af1bcc8a0d,000000fa0000bc00009600009d000000,4,"3,6,9,12",3,20,3_6_9_12,True
1,44,00112233445566778899aabbccddf06b,34778bdc5ed718791d821637e5213bee,34ae8bdc6fd718791d8216efe5212fee,00d9000031000000000000d800001400,4,"1,4,11,14",1,14,1_4_11_14,True
1,45,00112233445566778899aabbccddf06c,a4adc601d63c4012e2534540757822a1,a4adc67dd63c8b12e25a4540207822a1,0000007c0000cb000009000055000000,4,"3,6,9,12",3,16,3_6_9_12,True
1,46,00112233445566778899aabbccddf06d,3695af63609cde5274f9682017121748,4695af63609cde1774f9472017f21748,700000000000004500002f0000e00000,4,"0,7,10,13",0,14,0_7_10_13,True
1,47,00112233445566778899aabbccddf06e,7391e8bb1eabe123bb52e249421567fa,739191bb1ed6e123c852e24942156733,00007900007d000073000000000000c9,4,"2,5,8,15",2,20,2_5_8_15,True
1,48,00112233445566778899aabbccddf06f,7abfced8913972463440b1ab8da0ce12,7abf94d8911072464840b1ab8da0ce00,00005a00002900007c00000000000012,4,"2,5,8,15",2,14,2_5_8_15,True
1,49,00112233445566778899aabbccddf070,aedeb42fd76a28f30a129398a7ad46c2,aedeb441d76a84f30aa693982ead46c2,0000006e0000ac0000b4000089000000,4,"3,6,9,12",3,16,3_6_9_12,True
1,50,00112233445566778899aabbccddf071,bed524b062c17a1b7ca167fd83c1c752,beb224b0a6c17a1b7ca167f683c13752,00670000c40000000000000b0000f000,4,"1,4,11,14",1,15,1_4_11_14,True
1,51,00112233445566778899aabbccddf072,c75d004dea8d190435fbf83ed579b20b,c75d0099ea8d5a043541f83ec179b20b,000000d40000430000ba000014000000,4,"3,6,9,12",3,14,3_6_9_12,True
1,52,00112233445566778899aabbccddf073,000a767cb0461739d7877c242ba3832b,000a760db046ed39d7417c244aa3832b,000000710000fa0000c6000061000000,4,"3,6,9,12",3,17,3_6_9_12,True
1,53,00112233445566778899aabbccddf074,5022802751db0db9848f7cc6813c539c,5022262751000db90a8f7cc6813c530c,0000a60000db00008e00000000000090,4,"2,5,8,15",2,16,2_5_8_15,True
1,54,00112233445566778899aabbccddf075,bbd9297be7dae6f9719436915d791361,bbd94e7be72ce6f9509436915d791305,0000670000f600002100000000000064,4,"2,5,8,15",2,16,2_5_8_15,True
1,55,00112233445566778899aabbccddf076,04a10136a411517b8ea60ca9c8ff0831,04310136ab11517b8ea60cb8c8ff0b31,009000000f0000000000001100000300,4,"1,4,11,14",1,10,1_4_11_14,True
1,56,00112233445566778899aabbccddf077,ea392fcac39e62ef1225f0303ff287a4,ea932fcaa49e62ef1225f0b03ff2b7a4,00aa0000670000000000008000003000,4,"1,4,11,14",1,12,1_4_11_14,True
1,57,00112233445566778899aabbccddf078,8b788f4b0f9d2798b9c138e48e53a23c,25788f4b0f9d27efb9c10be48ecea23c,ae0000000000007700003300009d0000,4,"0,7,10,13",0,20,0_7_10_13,True
1,58,00112233445566778899aabbccddf079,f02f08c148e73963aca5a1f3f54ff91e,f01408c1aee73963aca5a115f54f641e,003b0000e6000000000000e600009d00,4,"1,4,11,14",1,20,1_4_11_14,True
1,59,00112233445566778899aabbccddf07a,d2915ed9ac1b30a18744f0493da75b2e,d2895ed98f1b30a18744f0943da7e42e,0018000023000000000000dd0000bf00,4,"1,4,11,14",1,18,1_4_11_14,True
1,60,00112233445566778899aabbccddf07b,708d994040b2c0647d0d5ed1083a8931,708d784040e8c064210d5ed1083a89f9,0000e100005a00005c000000000000c8,4,"2,5,8,15",2,15,2_5_8_15,True
1,61,00112233445566778899aabbccddf07c,4a72ec88b53218119c0317e24f521006,4a72ec22b53255119caa17e265521006,000000aa00004d0000a900002a000000,4,"3,6,9,12",3,15,3_6_9_12,True
1,62,00112233445566778899aabbccddf07d,b5c6f6f25ca5a06d6509ff1c1786a9d2,b5c610f25ca6a06d4109ff1c1786a983,0000e600000300002400000000000051,4,"2,5,8,15",2,12,2_5_8_15,True
1,63,00112233445566778899aabbccddf07e,1058e9d1637e696bd14178121a95ddae,7f58e9d1637e69aed141e4121a2bddae,6f000000000000c500009c0000be0000,4,"0,7,10,13",0,20,0_7_10_13,True
1,64,00112233445566778899aabbccddf07f,2fdad5d86d4f6ba2e8a6572aab6db988,4ddad5d86d4f6b4ce8a6e12aab05b988,62000000000000ee0000b60000680000,4,"0,7,10,13",0,17,0_7_10_13,True
1,65,00112233445566778899aabbccddf080,763aa03d17caeccc16c2c2186e1aec9a,763aa0f517cab6cc16f8c218911aec9a,000000c800005a00003a0000ff000000,4,"3,6,9,12",3,19,3_6_9_12,True
1,66,00112233445566778899aabbccddf081,904f22bf3fe49232c8f6251580eff9bb,905e22bf35e49232c8f6254b80ef1abb,001100000a0000000000005e0000e300,4,"1,4,11,14",1,14,1_4_11_14,True
1,67,00112233445566778899aabbccddf082,05fe5e8b7de0d68c00689451bb51f7cc,05fea48b7d70d68c2f689451bb51f7ec,0000fa00009000002f00000000000020,4,"2,5,8,15",2,14,2_5_8_15,True
1,68,00112233445566778899aabbccddf083,fdcf24fed9b609b5bb373fb3ebdfa540,fdcf2492d9b610b5bb4a3fb361dfa540,0000006c00001900007d00008a000000,4,"3,6,9,12",3,16,3_6_9_12,True
1,69,00112233445566778899aabbccddf084,92821155b3532a7fa6b34281d807baed,92821194b353a47fa6c942814d07baed,000000c100008e00007a000095000000,4,"3,6,9,12",3,16,3_6_9_12,True
1,70,00112233445566778899aabbccddf085,3a1ed6cbaf35f65f9ab150798b3074f7,3a1e92cbaffef65f83b150798b3074c7,0000440000cb00001900000000000030,4,"2,5,8,15",2,12,2_5_8_15,True
1,71,00112233445566778899aabbccddf086,06bf78f689abcf540b063f8989f0935f,06bf784689ab5f540bf43f897af0935f,000000b00000900000f20000f3000000,4,"3,6,9,12",3,16,3_6_9_12,True
1,72,00112233445566778899aabbccddf087,e7bbc8cc68d92389c8de2eb480e6d74e,e7bbc85868d99e89c8882eb4dfe6d74e,000000940000bd00005600005f000000,4,"3,6,9,12",3,19,3_6_9_12,True
1,73,00112233445566778899aabbccddf088,722686c49d28f639fb1a3158f2697ded,7d2686c49d28f69ffb1a7258f2597ded,0f000000000000a60000430000300000,4,"0,7,10,13",0,13,0_7_10_13,True
1,74,00112233445566778899aabbccddf089,709ef4318b34e1ec62a57d1086b3f2ea,709e91318baee1ec02a57d1086b3f26d,00006500009a00006000000000000087,4,"2,5,8,15",2,14,2_5_8_15,True
1,75,00112233445566778899aabbccddf08a,fb8b3925aff246b3f7353e7b141b4755,fb8b398aaff221b3f7523e7bd11b4755,000000af0000670000670000c5000000,4,"3,6,9,12",3,20,3_6_9_12,True
1,76,00112233445566778899aabbccddf08b,5693f036c7d6a6c58325f99b0225e2a9,9893f036c7d6a6588325839b02bde2a9,ce0000000000009d00007a0000980000,4,"0,7,10,13",0,18,0_7_10_13,True
1,77,00112233445566778899aabbccddf08c,0cf6d64041a9c14d5bffe158adc1a4c4,0cbbd640c7a9c14d5bffe18aadc188c4,004d000086000000000000d200002c00,4,"1,4,11,14",1,14,1_4_11_14,True
1,78,00112233445566778899aabbccddf08d,84296d664481294ff7058648e683a08a,84296d234481124ff75286484983a08a,0000004500003b0000570000af000000,4,"3,6,9,12",3,19,3_6_9_12,True
1,79,00112233445566778899aabbccddf08e,d578f77f1988ab52a948055095c7677f,9778f77f1988abf0a9485f5095b4677f,42000000000000a200005a0000730000,4,"0,7,10,13",0,14,0_7_10_13,True
1,80,00112233445566778899aabbccddf08f,3c81ae7e1b0a8874183c81e324dae0df,3c27ae7e830a8874183c81d924da73df,00a60000980000000000003a00009300,4,"1,4,11,14",1,15,1_4_11_14,True
1,81,00112233445566778899aabbccddf090,3fbed86ef6320bd48a459b0f9112ef04,3fbe516ef6040bd4f3459b0f9112ef0d,00008900003600007900000000000009,4,"2,5,8,15",2,14,2_5_8_15,True
1,82,00112233445566778899aabbccddf091,aa003c8488465b4d2ad66b5b95050ceb,aa003caa88466b4d2a296b5b41050ceb,0000002e0000300000ff0000d4000000,4,"3,6,9,12",3,18,3_6_9_12,True
1,83,00112233445566778899aabbccddf092,40a6ca3eb775bff002a4eb9d1c8b85c7,40afca3e2c75bff002a4eb951c8b43c7,000900009b000000000000080000c600,4,"1,4,11,14",1,12,1_4_11_14,True
1,84,00112233445566778899aabbccddf093,3f4404afcb6edc3a8102b8c09da50108,3f4404accb6e933a81e3b8c0cda50108,0000000300004f0000e1000050000000,4,"3,6,9,12",3,13,3_6_9_12,True
1,85,00112233445566778899aabbccddf094,f5b898b8a8dbcf33b597e2a243dc4b4a,f5b89843a8db9c33b5bbe2a2eddc4b4a,000000fb00005300002c0000ae000000,4,"3,6,9,12",3,19,3_6_9_12,True
1,86,00112233445566778899aabbccddf095,17875922b0a9c269fa1adf38fb7de2e0,1768592269a9c269fa1adfdefb7d0ce0,00ef0000d9000000000000e60000ee00,4,"1,4,11,14",1,23,1_4_11_14,True
1,87,00112233445566778899aabbccddf096,54524ffbb50086a2a3f020d47f2acdb3,10524ffbb50086eba3f03bd47fdccdb3,440000000000004900001b0000f60000,4,"0,7,10,13",0,15,0_7_10_13,True
1,88,00112233445566778899aabbccddf097,74da54585304477d2793ae95152e676f,74daaa5853e3477dba93ae95152e67d2,0000fe0000e700009d000000000000bd,4,"2,5,8,15",2,24,2_5_8_15,True
1,89,00112233445566778899aabbccddf098,9da5dbf639e9a91bbb1000a6901d4ed1,9de8dbf68ee9a91bbb1000d3901db3d1,004d0000b7000000000000750000fd00,4,"1,4,11,14",1,22,1_4_11_14,True
1,90,00112233445566778899aabbccddf099,b9e113104978dc66d20c8f405897db22,b9e136104960dc66300c8f405897dbc4,0000250000180000e2000000000000e6,4,"2,5,8,15",2,14,2_5_8_15,True
1,91,00112233445566778899aabbccddf09a,7049578529acfe46b228b9e0a1fbbd88,70c357857eacfe46b228b92ea1fbb188,008a000057000000000000ce00000c00,4,"1,4,11,14",1,15,1_4_11_14,True
1,92,00112233445566778899aabbccddf09b,2fae8f47c1d7d39f7b75e65469e72710,2f2d8f47a0d7d39f7b75e64e69e71310,00830000610000000000001a00003400,4,"1,4,11,14",1,12,1_4_11_14,True
1,93,00112233445566778899aabbccddf09c,d11b6f0caeef2bbb3b0d2ddee09141bf,a61b6f0caeef2bc03b0db0dee0a641bf,770000000000007b00009d0000370000,4,"0,7,10,13",0,22,0_7_10_13,True
1,94,00112233445566778899aabbccddf09d,dc62632b18a090ca6ddd221970539527,dc62912b18ac90ca06dd221970539524,0000f200000c00006b00000000000003,4,"2,5,8,15",2,14,2_5_8_15,True
1,95,00112233445566778899aabbccddf09e,56084f61fe0f075eed4d554a35b97cb8,56084fdffe0fa85eed0e554a67b97cb8,000000be0000af000043000052000000,4,"3,6,9,12",3,18,3_6_9_12,True
1,96,00112233445566778899aabbccddf09f,d4b12a9f131f59a9172d4d652aba788a,d4c02a9fcb1f59a9172d4df82aba8b8a,00710000d80000000000009d0000f300,4,"1,4,11,14",1,19,1_4_11_14,True
1,97,00112233445566778899aabbccddf0a0,efa821f852f6d129395b1049628d31c9,ef7821f89bf6d129395b1069628de5c9,00d00000c9000000000000200000d400,4,"1,4,11,14",1,12,1_4_11_14,True
1,98,00112233445566778899aabbccddf0a1,acd46aff5520d82d31e5c580d331ab05,ac0f6aff4f20d82d31e5c532d331c505,00db00001a000000000000b200006e00,4,"1,4,11,14",1,18,1_4_11_14,True
1,99,00112233445566778899aabbccddf0a2,52fc0a8c00d269d19db54caa641d5625,52fc0aa200d27dd19d744caa001d5625,0000002e0000140000c1000064000000,4,"3,6,9,12",3,12,3_6_9_12,True
1,100,00112233445566778899aabbccddf0a3,c77793a39c74f51c33782878c941824e,c72293a37074f51c337828e0c941b34e,00550000ec0000000000009800003100,4,"1,4,11,14",1,15,1_4_11_14,True
1,101,00112233445566778899aabbccddf0a4,ab3812eeeb85caf4c1599c27d56a105c,2b3812eeeb85ca4ac1594227d500105c,80000000000000be0000de00006a0000,4,"0,7,10,13",0,17,0_7_10_13,True
1,102,00112233445566778899aabbccddf0a5,31814a2278b1900a695127bed134464b,3181d82278cc900af65127bed1344629,00009200007d00009f00000000000062,4,"2,5,8,15",2,18,2_5_8_15,True
