model_sel,sample_id,plaintext,req_inject_byte_pos,actual_inject_en,actual_inject_byte_pos,fault_val,fault_hw,dfa_valid,fault_mask,correct_cipher,fault_cipher,diff,diff_nonzero_count,diff_byte_mask,first_diff_byte,hw,offset
1,0,00112233445566778899aabbccddf03f,15,1,15,60,2,1,60000000000000000000000000000000,74b6cfc17ad8d722cda299bdd117f128,11b6cfc17ad8d76dcda2b1bdd1cff128,650000000000004f0000280000d80000,4,8124,2,2,0
1,1,00112233445566778899aabbccddf040,4,1,4,0a,2,1,00000000000000000000000a00000000,39fb75d619e806ef512627979be82c5d,39fbd1d6199706efa32627979be82c53,0000a400007f0000f20000000000000e,4,2481,0,2,0
1,2,00112233445566778899aabbccddf041,11,1,11,60,2,1,00000000600000000000000000000000,95eee0db9f2cc455a8775944188f689a,9586e0db7f2cc455a877599b188fc29a,00680000e0000000000000df0000aa00,4,4812,1,2,0
1,3,00112233445566778899aabbccddf042,6,1,6,10,1,1,00000000000000000010000000000000,96592a3328d13cb7cf87683352f2fa8a,9659af3328853cb7ec87683352f2faa6,0000850000540000230000000000002c,4,2481,0,1,0
1,4,00112233445566778899aabbccddf043,10,1,10,40,1,1,00000000004000000000000000000000,2c11efcab3c6be3da8ab6a032ac00240,2c5aefca36c6be3da8ab6a1c2ac08440,004b0000850000000000001f00008600,4,4812,1,1,0
1,5,00112233445566778899aabbccddf044,13,1,13,10,1,1,00001000000000000000000000000000,51869533ab95bbf27c135d14f084a6ce,dc869533ab95bbf47c135f14f0aea6ce,8d0000000000000600000200002a0000,4,8124,2,1,0
1,6,00112233445566778899aabbccddf045,7,1,7,04,1,1,00000000000000000400000000000000,fa339be3a74e32256dba6f4360378caf,fa3380e3a7f43225a0ba6f4360378c8f,00001b0000ba0000cd00000000000020,4,2481,0,1,0
1,7,00112233445566778899aabbccddf046,9,1,9,50,2,1,00000000000050000000000000000000,8e0725f80973860a579dce3d916e6eba,8e5425f84d73860a579dce04916e27ba,00530000440000000000003900004900,4,4812,1,2,0
1,8,00112233445566778899aabbccddf047,1,1,1,20,1,1,00000000000000000000000000002000,8587dc0deefbf1c3fd3695e6cc49aaa3,8587dca9eefbeec3fd8895e6e849aaa3,000000a400001f0000be000024000000,4,1248,3,1,0
1,9,00112233445566778899aabbccddf048,2,1,2,11,2,1,00000000000000000000000000110000,44823dc479f6706a4363049c9aeda7a9,44823d7b79f6956a43a8049c15eda7a9,000000bf0000e50000cb00008f000000,4,1248,3,2,0
1,10,00112233445566778899aabbccddf049,15,1,15,03,2,1,03000000000000000000000000000000,0ca3c52211659987f036a478f115dac1,faa3c5221165993cf0365c78f19ddac1,f6000000000000bb0000f80000880000,4,8124,2,2,0
1,11,00112233445566778899aabbccddf04a,11,1,11,20,1,1,00000000200000000000000000000000,9ed2ca4646d7dec9298e429c92b9b14c,9e80ca460ad7dec9298e429692b9594c,005200004c0000000000000a0000e800,4,4812,1,1,0
1,12,00112233445566778899aabbccddf04b,15,1,15,40,1,1,40000000000000000000000000000000,57008e0d9eaaac57c77c3c5dd9c6cb40,d2008e0d9eaaacc3c77c5e5dd99acb40,850000000000009400006200005c0000,4,8124,2,1,0
1,13,00112233445566778899aabbccddf04c,6,1,6,01,1,1,00000000000000000001000000000000,a99e977a7fbafea591de954d293dfc58,a99ee27a7ff8fea587de954d293dfc71,00007500004200001600000000000029,4,2481,0,1,0
1,14,00112233445566778899aabbccddf04d,4,1,4,08,1,1,00000000000000000000000800000000,532e5f7799c9ff74cd847edb2bd621ba,532e38779978ff7437847edb2bd621ee,0000670000b10000fa00000000000054,4,2481,0,1,0
1,15,00112233445566778899aabbccddf04e,0,1,0,12,2,1,00000000000000000000000000000012,7c8e4fa6a18b406104490ad24625b6aa,7c8e4fa5a18b5b61049b0ad2dd25b6aa,0000000300001b0000d200009b000000,4,1248,3,2,0
1,16,00112233445566778899aabbccddf04f,8,1,8,02,1,1,00000000000000020000000000000000,90605e5ae1b82bfc11d21796991999bc,90fc5e5a07b82bfc11d2172699196ebc,009c0000e6000000000000b00000f700,4,4812,1,1,0
1,17,00112233445566778899aabbccddf050,3,1,3,80,1,1,00000000000000000000000080000000,567e2b5eddb0851e904bc180128ec9c7,567e2b4bddb0e31e90e9c180d98ec9c7,000000150000660000a20000cb000000,4,1248,3,1,0
1,18,00112233445566778899aabbccddf051,12,1,12,08,1,1,00000008000000000000000000000000,ec9d1faeb8b61e5aed661193ed230cf2,9d9d1faeb8b61edfed66b893edb90cf2,71000000000000850000a900009a0000,4,8124,2,1,0
1,19,00112233445566778899aabbccddf052,7,1,7,40,1,1,00000000000000004000000000000000,ffad1d78d194138544d591afcc62b6fa,ffadd178d1ba138532d591afcc62b623,0000cc00002e000076000000000000d9,4,2481,0,1,0
1,20,00112233445566778899aabbccddf053,9,1,9,08,1,1,00000000000008000000000000000000,9e33ab3480b9aaea795608637979b357,9e2bab3458b9aaea795608a779796557,00180000d8000000000000c40000d600,4,4812,1,1,0
