model_sel,sample_id,plaintext,correct_cipher,fault_cipher,diff,diff_nonzero_count,diff_positions,first_diff_byte,diff_hw_sum,group_tag,is_good_candidate
2,0,00112233445566778899aabbccddf17f,f91224fff4d681ae9a2f6fe1f3437d88,f9122416f4d64aae9aab6fe12d437d88,000000e90000cb0000840000de000000,4,"3,6,9,12",3,18,3_6_9_12,True
2,1,00112233445566778899aabbccddf180,001086da0c29eb7deb98d89ba9e1ceed,0010e6da0c3feb7dcf98d89ba9e1ce58,000060000016000024000000000000b5,4,"2,5,8,15",2,12,2_5_8_15,True
2,2,00112233445566778899aabbccddf181,449f42d57d56ea2a5f8975924e137f61,449f42627d567d2a5f837592a7137f61,000000b700009700000a0000e9000000,4,"3,6,9,12",3,18,3_6_9_12,True
2,3,00112233445566778899aabbccddf182,2689082ce97e8897446dc6cbf09f4316,268908dbe97e4997440bc6cbf79f4316,000000f70000c1000066000007000000,4,"3,6,9,12",3,17,3_6_9_12,True
2,4,00112233445566778899aabbccddf183,f7ea6f3b356993ba563173cabb591513,f7226f3b306993ba5631733bbb59b413,00c8000005000000000000f10000a100,4,"1,4,11,14",1,13,1_4_11_14,True
2,5,00112233445566778899aabbccddf184,ae0f7d419318df2ccec8c18791b184e9,aea87d41c918df2ccec8c18c91b104e9,00a700005a0000000000000b00008000,4,"1,4,11,14",1,13,1_4_11_14,True
2,6,00112233445566778899aabbccddf185,302e4e1007837bf2dfee502127ead585,309f4e1021837bf2dfee504227ea9985,00b10000260000000000006300004c00,4,"1,4,11,14",1,14,1_4_11_14,True
2,7,00112233445566778899aabbccddf186,23d3c1d2f59f77b602470d2e30736679,d2d3c1d2f59f774e0247f12e306a6679,f1000000000000f80000fc0000190000,4,"0,7,10,13",0,19,0_7_10_13,True
2,8,00112233445566778899aabbccddf187,ea706686ef20e2d5050e565b1d5c3a64,ea5f6686c320e2d5050e56501d5c4f64,002f00002c0000000000000b00007500,4,"1,4,11,14",1,16,1_4_11_14,True
2,9,00112233445566778899aabbccddf188,de5227de3362db14ed9a0556340d11b2,de7827deff62db14ed9a0542340d87b2,002a0000cc0000000000001400009600,4,"1,4,11,14",1,13,1_4_11_14,True
2,10,00112233445566778899aabbccddf189,79695e07d9794d593aef5e2efbe76f58,58695e07d9794dda3aef662efbac6f58,210000000000008300003800004b0000,4,"0,7,10,13",0,12,0_7_10_13,True
2,11,00112233445566778899aabbccddf18a,0771a89d112cc586f6e32415de7739f4,0771459d110ec58669e32415de7739f5,0000ed00002200009f00000000000001,4,"2,5,8,15",2,15,2_5_8_15,True
2,12,00112233445566778899aabbccddf18b,7c269d1f7d21e5d1868f03b336706fe7,7c269da27d21add186ad03b371706fe7,000000bd000048000022000047000000,4,"3,6,9,12",3,14,3_6_9_12,True
2,13,00112233445566778899aabbccddf18c,1f54cade1287b976bd1f7e4cd85ab27c,1f54fcde1263b976241f7e4cd85ab2d8,0000360000e4000099000000000000a4,4,"2,5,8,15",2,15,2_5_8_15,True
2,14,00112233445566778899aabbccddf18d,878d9f4945ad3f8bee3b191a4f242d6c,878d9f2445adc88beef5191a7d242d6c,0000006d0000f70000ce000032000000,4,"3,6,9,12",3,20,3_6_9_12,True
2,15,00112233445566778899aabbccddf18e,99beba96fdda530abe55389441bcd6da,99beba0bfdda330abe0f38948ebcd6da,0000009d00006000005a0000cf000000,4,"3,6,9,12",3,17,3_6_9_12,True
2,16,00112233445566778899aabbccddf18f,5f98cd3f5eeaa1e2870e1c856a1427ae,5f98033f5ed8a1e2270e1c856a14272e,0000ce0000320000a000000000000080,4,"2,5,8,15",2,11,2_5_8_15,True
2,17,00112233445566778899aabbccddf190,2ce36438e4388cf15cbf1cf57e4158bb,2ce364a3e43879f15cac1cf5e04158bb,0000009b0000f500001300009e000000,4,"3,6,9,12",3,19,3_6_9_12,True
2,18,00112233445566778899aabbccddf191,a1e09a35c36a887cc62ee32213e61856,a1ce9a35d86a887cc62ee3c713e6a356,002e00001b000000000000e50000bb00,4,"1,4,11,14",1,19,1_4_11_14,True
2,19,00112233445566778899aabbccddf192,762198dc592999939089b23789872f13,7621b2dc59d199931389b23789872f8e,00002a0000f80000830000000000009d,4,"2,5,8,15",2,16,2_5_8_15,True
2,20,00112233445566778899aabbccddf193,1f4862cde9e062d0b75dddc7d8822a62,1f9562cd93e062d0b75dddd6d882c962,00dd00007a000000000000110000e300,4,"1,4,11,14",1,18,1_4_11_14,True
