model_sel,sample_id,plaintext,correct_cipher,fault_cipher,diff,diff_nonzero_count,diff_positions,first_diff_byte,diff_hw_sum,group_tag,is_good_candidate
3,0,00112233445566778899aabbccddf2bf,fd0156d4eac607e96266f83c9a8791c0,fdf156d40ec607e96266f89e9a8783c0,00f00000e4000000000000a200001200,4,"1,4,11,14",1,13,1_4_11_14,True
3,1,00112233445566778899aabbccddf2c0,87d4e4d6e7db23c0a8f82dce154a12bc,38d4e4d6e7db2344a8f8efce153b12bc,bf000000000000840000c20000710000,4,"0,7,10,13",0,16,0_7_10_13,True
3,3,00112233445566778899aabbccddf2c2,8428d27ba2641a0ed933f36e04912133,e528d27ba2641a02d9339a6e04262133,610000000000000c0000690000b70000,4,"0,7,10,13",0,15,0_7_10_13,True
3,4,00112233445566778899aabbccddf2c3,dc4d816a94bb63608d8b99e4b5b910dd,dc17816a11bb63608d8b995bb5b945dd,005a000085000000000000bf00005500,4,"1,4,11,14",1,18,1_4_11_14,True
3,5,00112233445566778899aabbccddf2c4,dc8cb2023082482fe5ed6191a765190c,ac8cb202308248e7e5edce91a7d1190c,70000000000000c80000af0000b40000,4,"0,7,10,13",0,16,0_7_10_13,True
3,6,00112233445566778899aabbccddf2c5,3552bf624cb01afe9950e0d7a64c08b2,35abbf62d3b01afe9950e017a64cb0b2,00f900009f000000000000c00000b800,4,"1,4,11,14",1,18,1_4_11_14,True
3,7,00112233445566778899aabbccddf2c6,0a48296be58402eb42a84435e832c834,0a482941e584b8eb428244356132c834,0000002a0000ba00002a000089000000,4,"3,6,9,12",3,14,3_6_9_12,True
3,8,00112233445566778899aabbccddf2c7,e1a45f902bbd9d8e20b428169b26e678,e1985f90bcbd9d8e20b4288e9b266178,003c0000970000000000009800008700,4,"1,4,11,14",1,16,1_4_11_14,True
3,9,00112233445566778899aabbccddf2c8,463b21582b543b94a8868c25357e4d39,463b21082b547394a81e8c257e7e4d39,0000005000004800009800004b000000,4,"3,6,9,12",3,11,3_6_9_12,True
3,10,00112233445566778899aabbccddf2c9,c68564b9f1cf62f7b50247e7a801bb7e,c6856450f1cf7cf7b54147e72d01bb7e,000000e900001e000043000085000000,4,"3,6,9,12",3,15,3_6_9_12,True
3,11,00112233445566778899aabbccddf2ca,6aa7bc8628db8fbe82a831392586cf5a,6aa7bcc228dbbdbe82543139a486cf5a,000000440000320000fc000081000000,4,"3,6,9,12",3,13,3_6_9_12,True
3,13,00112233445566778899aabbccddf2cc,e586067652d8c39d32462119c35fb0db,e5890676d7d8c39d32462125c35f2ddb,000f0000850000000000003c00009d00,4,"1,4,11,14",1,16,1_4_11_14,True
3,14,00112233445566778899aabbccddf2cd,35ff517199cc781d7c95099c5734d51b,35ff86719930781d5795099c5734d57b,0000d70000fc00002b00000000000060,4,"2,5,8,15",2,18,2_5_8_15,True
3,15,00112233445566778899aabbccddf2ce,0d26fab4a242808b3320564eeae2cdee,0d79fab43942808b33205689eae2e5ee,005f00009b000000000000c700002800,4,"1,4,11,14",1,18,1_4_11_14,True
3,16,00112233445566778899aabbccddf2cf,f1b42e0dfadfefd949a7a9d366c3e57c,f1ef2e0d9adfefd949a7a97966c3957c,005b000060000000000000aa00007000,4,"1,4,11,14",1,14,1_4_11_14,True
3,18,00112233445566778899aabbccddf2d1,fc4daf6d3e490f0ab33be9803ecd2b39,fcd3af6d56490f0ab33be9a43ecdd839,009e000068000000000000240000f300,4,"1,4,11,14",1,16,1_4_11_14,True
3,21,00112233445566778899aabbccddf2d4,d008420fe736026ff6c55905bf186751,d00842d6e736c76ff6bd5905ac186751,000000d90000c5000078000013000000,4,"3,6,9,12",3,16,3_6_9_12,True
3,22,00112233445566778899aabbccddf2d5,bee7808648db2390889bfca8905173b1,bee7804148db789088dcfca88f5173b1,000000c700005b00004700001f000000,4,"3,6,9,12",3,19,3_6_9_12,True
3,23,00112233445566778899aabbccddf2d6,19125bee87f0157a4f80744c6b4cd3cf,191247ee873d157a5380744c6b4cd390,00001c0000cd00001c0000000000005f,4,"2,5,8,15",2,17,2_5_8_15,True
3,25,00112233445566778899aabbccddf2d8,91f897226e9762088827dab6cfd92a02,e0f897226e9762f18827aeb6cfb32a02,71000000000000f900007400006a0000,4,"0,7,10,13",0,18,0_7_10_13,True
3,27,00112233445566778899aabbccddf2da,689bdbbc1b136ba0da18149c05502ff6,689bd9bc1b1a6ba02818149c05502f37,0000020000090000f2000000000000c1,4,"2,5,8,15",2,11,2_5_8_15,True
3,29,00112233445566778899aabbccddf2dc,b4fb00fb29d3c68b8ce7052286bf9837,b4fb51fb29f7c68b06e7052286bf98df,00005100002400008a000000000000e8,4,"2,5,8,15",2,12,2_5_8_15,True
3,31,00112233445566778899aabbccddf2de,ace4017c49b4d148366d639eea15457c,ace4617c4980d148ca6d639eea154574,0000600000340000fc00000000000008,4,"2,5,8,15",2,12,2_5_8_15,True
3,32,00112233445566778899aabbccddf2df,fdb5cf90c6bf226cf32720b35e15e8e4,fdb5cfa8c6bf746cf35520b37815e8e4,00000038000056000072000026000000,4,"3,6,9,12",3,14,3_6_9_12,True
3,34,00112233445566778899aabbccddf2e1,09cea2260b7574ce8e60cd715cc6ca54,becea2260b7574b18e6076715c7dca54,b70000000000007f0000bb0000bb0000,4,"0,7,10,13",0,25,0_7_10_13,True
3,35,00112233445566778899aabbccddf2e2,cc78ece7ec1a8c5a8ad206e841690dc4,cc78ec8bec1a2b5a8afc06e838690dc4,0000006c0000a700002e000079000000,4,"3,6,9,12",3,18,3_6_9_12,True
3,36,00112233445566778899aabbccddf2e3,ecbf30faefea502c73a7ee83db8b84eb,ec7b30fa38ea502c73a7ee4edb8b7feb,00c40000d7000000000000cd0000fb00,4,"1,4,11,14",1,21,1_4_11_14,True
3,37,00112233445566778899aabbccddf2e4,745db411becb6c790d8f8b212f490462,895db411becb6c490d8f21212f3e0462,fd000000000000300000aa0000770000,4,"0,7,10,13",0,19,0_7_10_13,True
3,38,00112233445566778899aabbccddf2e5,35d5ecc944f8f4aa8531a6c15457e80b,358aecc960f8f4aa8531a64b5457750b,005f0000240000000000008a00009d00,4,"1,4,11,14",1,16,1_4_11_14,True
3,39,00112233445566778899aabbccddf2e6,ef87c2bd8d0402eb02d07406b25529f4,ef2ec2bd970402eb02d0743db25520f4,00a900001a0000000000003b00000900,4,"1,4,11,14",1,14,1_4_11_14,True
3,40,00112233445566778899aabbccddf2e7,5ed490b1349fd8ac385b2a763321fc21,5ed490d6349fe9ac38262a76fb21fc21,0000006700003100007d0000c8000000,4,"3,6,9,12",3,17,3_6_9_12,True
3,42,00112233445566778899aabbccddf2e9,642a712ae72bff98dae8c7d8c812e188,c92a712ae72bff06dae800d8c820e188,ad0000000000009e0000c70000320000,4,"0,7,10,13",0,18,0_7_10_13,True
3,44,00112233445566778899aabbccddf2eb,b71614a97f173a156eb9c85be433317f,b7160ca97f133a1521b9c85be43331de,00001800000400004f000000000000a1,4,"2,5,8,15",2,11,2_5_8_15,True
3,45,00112233445566778899aabbccddf2ec,6fc1a74fe401961cbebe9e3dff81c8af,6f89a74f3d01961cbebe9e52ff813caf,00480000d90000000000006f0000f400,4,"1,4,11,14",1,18,1_4_11_14,True
3,46,00112233445566778899aabbccddf2ed,e60e41d6b28594c9626ce234d8106fd3,e60e4196b285b5c9625fe234ab106fd3,00000040000021000033000073000000,4,"3,6,9,12",3,12,3_6_9_12,True
3,48,00112233445566778899aabbccddf2ef,e7422601733ec6a25cf447c197926076,e7422632733e78a25ceb47c154926076,000000330000be00001f0000c3000000,4,"3,6,9,12",3,19,3_6_9_12,True
3,49,00112233445566778899aabbccddf2f0,07441a67c7312826ee716f400eb1a2b0,07441a63c7318426eeb26f40bdb1a2b0,000000040000ac0000c30000b3000000,4,"3,6,9,12",3,14,3_6_9_12,True
3,52,00112233445566778899aabbccddf2f3,d14da3ad859c0191a09b6acb2b6eb34f,d169a3ad189c0191a09b6a562b6e854f,002400009d0000000000009d00003600,4,"1,4,11,14",1,16,1_4_11_14,True
3,53,00112233445566778899aabbccddf2f4,020176991e1b298b22614cbf27920954,0201765f1e1b788b22d14cbf74920954,000000c60000510000b0000053000000,4,"3,6,9,12",3,14,3_6_9_12,True
3,54,00112233445566778899aabbccddf2f5,217012a0059b6ae42a111df2be71c2c2,2d7012a0059b6adf2a1164f2beafc2c2,0c0000000000003b0000790000de0000,4,"0,7,10,13",0,18,0_7_10_13,True
3,55,00112233445566778899aabbccddf2f6,1aa2078a977886326889ad7063adaa5d,97a2078a977886006889037063e4aa5d,8d000000000000320000ae0000490000,4,"0,7,10,13",0,15,0_7_10_13,True
3,56,00112233445566778899aabbccddf2f7,4b9b0bf416b58a0de40787045c6a5c83,4b9b0b9e16b5f90de4848704516a5c83,0000006a00007300008300000d000000,4,"3,6,9,12",3,15,3_6_9_12,True
3,57,00112233445566778899aabbccddf2f8,3856511f2f0df4fa566f9e73e730d2eb,388c511f080df4fa566f9eede730c8eb,00da0000270000000000009e00001a00,4,"1,4,11,14",1,17,1_4_11_14,True
3,58,00112233445566778899aabbccddf2f9,0626f1bcbb35d173d77cbb042c81091f,062683bcbbfad173727cbb042c810993,0000720000cf0000a50000000000008c,4,"2,5,8,15",2,17,2_5_8_15,True
3,59,00112233445566778899aabbccddf2fa,189b5b41a0358185963e2aed15fd06f4,8d9b5b41a03581a3963e96ed150b06f4,95000000000000260000bc0000f60000,4,"0,7,10,13",0,18,0_7_10_13,True
3,61,00112233445566778899aabbccddf2fc,47431e657dae698d347e1408010b11ba,47431ed87dae718d340f1408e70b11ba,000000bd0000180000710000e6000000,4,"3,6,9,12",3,17,3_6_9_12,True
3,62,00112233445566778899aabbccddf2fd,20a90d1d1228c1b8cf545aeb6accec17,205f0d1d9728c1b8cf545a0f6acc3e17,00f6000085000000000000e40000d200,4,"1,4,11,14",1,17,1_4_11_14,True
3,63,00112233445566778899aabbccddf2fe,d3321894c80f62750ef8a6e046cb1f8a,d3321851c80fef750efca6e0efcb1f8a,000000c500008d0000040000a9000000,4,"3,6,9,12",3,13,3_6_9_12,True
