mask,samples,byte_pos,rank,candidate,score
4812,81,1,1,14,81
4812,81,1,2,e7,4
4812,81,1,3,0c,2
4812,81,1,4,6c,2
4812,81,1,5,75,2
4812,81,1,6,79,2
4812,81,1,7,80,2
4812,81,1,8,83,2
4812,81,4,1,c9,81
4812,81,4,2,4b,3
4812,81,4,3,0a,2
4812,81,4,4,10,2
4812,81,4,5,17,2
4812,81,4,6,23,2
4812,81,4,7,56,2
4812,81,4,8,64,2
4812,81,11,1,c8,81
4812,81,11,2,14,4
4812,81,11,3,c2,3
4812,81,11,4,1a,2
4812,81,11,5,25,2
4812,81,11,6,29,2
4812,81,11,7,2e,2
4812,81,11,8,31,2
4812,81,14,1,0c,81
4812,81,14,2,37,2
4812,81,14,3,5c,2
4812,81,14,4,7a,2
4812,81,14,5,85,2
4812,81,14,6,a6,2
4812,81,14,7,b8,2
4812,81,14,8,d0,2
1248,74,3,1,a8,74
1248,74,3,2,62,3
1248,74,3,3,37,2
1248,74,3,4,5f,2
1248,74,3,5,6d,2
1248,74,3,6,6f,2
1248,74,3,7,99,2
1248,74,3,8,a2,2
1248,74,6,1,25,74
1248,74,6,2,05,2
1248,74,6,3,0c,2
1248,74,6,4,54,2
1248,74,6,5,61,2
1248,74,6,6,64,2
1248,74,6,7,66,2
1248,74,6,8,7b,2
1248,74,9,1,3f,74
1248,74,9,2,c0,3
1248,74,9,3,20,2
1248,74,9,4,49,2
1248,74,9,5,52,2
1248,74,9,6,60,2
1248,74,9,7,80,2
1248,74,9,8,8a,2
1248,74,12,1,b6,74
1248,74,12,2,10,2
1248,74,12,3,1c,2
1248,74,12,4,25,2
1248,74,12,5,39,2
1248,74,12,6,53,2
1248,74,12,7,6f,2
1248,74,12,8,86,2
2481,68,2,1,f9,68
2481,68,2,2,31,2
2481,68,2,3,40,2
2481,68,2,4,75,2
2481,68,2,5,9d,2
2481,68,2,6,b5,2
2481,68,2,7,c2,2
2481,68,2,8,db,2
2481,68,5,1,ee,68
2481,68,5,2,1c,2
2481,68,5,3,1d,2
2481,68,5,4,49,2
2481,68,5,5,4d,2
2481,68,5,6,53,2
2481,68,5,7,67,2
2481,68,5,8,6f,2
2481,68,8,1,e1,68
2481,68,8,2,3d,2
2481,68,8,3,46,2
2481,68,8,4,9f,2
2481,68,8,5,ba,2
2481,68,8,6,d0,2
2481,68,8,7,e9,2
2481,68,8,8,ef,2
2481,68,15,1,a6,68
2481,68,15,2,03,2
2481,68,15,3,32,2
2481,68,15,4,40,2
2481,68,15,5,76,2
2481,68,15,6,a7,2
2481,68,15,7,e4,2
2481,68,15,8,fd,2
8124,67,0,1,d0,67
8124,67,0,2,f6,4
8124,67,0,3,52,3
8124,67,0,4,30,2
8124,67,0,5,41,2
8124,67,0,6,4d,2
8124,67,0,7,d1,2
8124,67,0,8,d4,2
8124,67,7,1,89,67
8124,67,7,2,bb,3
8124,67,7,3,0f,2
8124,67,7,4,17,2
8124,67,7,5,28,2
8124,67,7,6,31,2
8124,67,7,7,48,2
8124,67,7,8,e8,2
8124,67,10,1,0c,67
8124,67,10,2,70,3
8124,67,10,3,0e,2
8124,67,10,4,42,2
8124,67,10,5,6d,2
8124,67,10,6,c4,2
8124,67,10,7,0d,1
8124,67,10,8,14,1
8124,67,13,1,63,67
8124,67,13,2,b3,3
8124,67,13,3,9c,2
8124,67,13,4,b0,2
8124,67,13,5,b6,2
8124,67,13,6,c9,2
8124,67,13,7,de,2
8124,67,13,8,ee,2
