mask,samples,byte_pos,rank,candidate,score
8124,79,0,1,d0,79
8124,79,0,2,7e,3
8124,79,0,3,04,2
8124,79,0,4,26,2
8124,79,0,5,2a,2
8124,79,0,6,4d,2
8124,79,0,7,59,2
8124,79,0,8,5d,2
8124,79,7,1,89,79
8124,79,7,2,a3,3
8124,79,7,3,c5,3
8124,79,7,4,cc,3
8124,79,7,5,16,2
8124,79,7,6,22,2
8124,79,7,7,60,2
8124,79,7,8,db,2
8124,79,10,1,0c,79
8124,79,10,2,0e,2
8124,79,10,3,10,2
8124,79,10,4,6a,2
8124,79,10,5,90,2
8124,79,10,6,ad,2
8124,79,10,7,b7,2
8124,79,10,8,bd,2
8124,79,13,1,63,79
8124,79,13,2,48,3
8124,79,13,3,02,2
8124,79,13,4,09,2
8124,79,13,5,10,2
8124,79,13,6,13,2
8124,79,13,7,1b,2
8124,79,13,8,53,2
2481,76,2,1,f9,76
2481,76,2,2,03,3
2481,76,2,3,35,3
2481,76,2,4,1f,2
2481,76,2,5,28,2
2481,76,2,6,69,2
2481,76,2,7,70,2
2481,76,2,8,7e,2
2481,76,5,1,ee,76
2481,76,5,2,93,3
2481,76,5,3,01,2
2481,76,5,4,09,2
2481,76,5,5,24,2
2481,76,5,6,35,2
2481,76,5,7,54,2
2481,76,5,8,7c,2
2481,76,8,1,e1,76
2481,76,8,2,07,3
2481,76,8,3,5d,3
2481,76,8,4,12,2
2481,76,8,5,1b,2
2481,76,8,6,22,2
2481,76,8,7,29,2
2481,76,8,8,3a,2
2481,76,15,1,a6,76
2481,76,15,2,86,3
2481,76,15,3,1b,2
2481,76,15,4,62,2
2481,76,15,5,95,2
2481,76,15,6,b4,2
2481,76,15,7,c2,2
2481,76,15,8,d8,2
1248,66,3,1,a8,66
1248,66,3,2,8e,3
1248,66,3,3,ab,3
1248,66,3,4,0b,2
1248,66,3,5,86,2
1248,66,3,6,a3,2
1248,66,3,7,fa,2
1248,66,3,8,ff,2
1248,66,6,1,25,66
1248,66,6,2,15,2
1248,66,6,3,1e,2
1248,66,6,4,68,2
1248,66,6,5,89,2
1248,66,6,6,98,2
1248,66,6,7,a7,2
1248,66,6,8,ba,2
1248,66,9,1,3f,66
1248,66,9,2,02,2
1248,66,9,3,13,2
1248,66,9,4,32,2
1248,66,9,5,56,2
1248,66,9,6,7c,2
1248,66,9,7,81,2
1248,66,9,8,85,2
1248,66,12,1,b6,66
1248,66,12,2,45,3
1248,66,12,3,1e,2
1248,66,12,4,2b,2
1248,66,12,5,2e,2
1248,66,12,6,3f,2
1248,66,12,7,48,2
1248,66,12,8,6a,2
4812,65,1,1,14,65
4812,65,1,2,0c,2
4812,65,1,3,59,2
4812,65,1,4,65,2
4812,65,1,5,84,2
4812,65,1,6,9e,2
4812,65,1,7,af,2
4812,65,1,8,db,2
4812,65,4,1,c9,65
4812,65,4,2,11,3
4812,65,4,3,ab,3
4812,65,4,4,07,2
4812,65,4,5,2f,2
4812,65,4,6,7e,2
4812,65,4,7,ea,2
4812,65,4,8,f3,2
4812,65,11,1,c8,65
4812,65,11,2,d9,3
4812,65,11,3,0c,2
4812,65,11,4,44,2
4812,65,11,5,a9,2
4812,65,11,6,bd,2
4812,65,11,7,e8,2
4812,65,11,8,03,1
4812,65,14,1,0c,65
4812,65,14,2,0f,2
4812,65,14,3,38,2
4812,65,14,4,45,2
4812,65,14,5,a6,2
4812,65,14,6,bd,2
4812,65,14,7,c8,2
4812,65,14,8,00,1
