mask,samples,byte_pos,rank,candidate,score
4812,93,1,1,14,93
4812,93,1,2,6d,3
4812,93,1,3,00,2
4812,93,1,4,0f,2
4812,93,1,5,3b,2
4812,93,1,6,3e,2
4812,93,1,7,53,2
4812,93,1,8,57,2
4812,93,4,1,c9,93
4812,93,4,2,4b,3
4812,93,4,3,53,3
4812,93,4,4,81,3
4812,93,4,5,93,3
4812,93,4,6,d2,3
4812,93,4,7,03,2
4812,93,4,8,37,2
4812,93,11,1,c8,93
4812,93,11,2,12,2
4812,93,11,3,22,2
4812,93,11,4,30,2
4812,93,11,5,37,2
4812,93,11,6,42,2
4812,93,11,7,5a,2
4812,93,11,8,a7,2
4812,93,14,1,0c,93
4812,93,14,2,a0,3
4812,93,14,3,16,2
4812,93,14,4,24,2
4812,93,14,5,3d,2
4812,93,14,6,4e,2
4812,93,14,7,77,2
4812,93,14,8,86,2
1248,81,3,1,a8,81
1248,81,3,2,15,3
1248,81,3,3,3d,3
1248,81,3,4,0d,2
1248,81,3,5,33,2
1248,81,3,6,45,2
1248,81,3,7,4b,2
1248,81,3,8,d8,2
1248,81,6,1,25,81
1248,81,6,2,cb,3
1248,81,6,3,2e,2
1248,81,6,4,5f,2
1248,81,6,5,7a,2
1248,81,6,6,82,2
1248,81,6,7,88,2
1248,81,6,8,90,2
1248,81,9,1,3f,81
1248,81,9,2,0a,2
1248,81,9,3,2c,2
1248,81,9,4,36,2
1248,81,9,5,44,2
1248,81,9,6,57,2
1248,81,9,7,5c,2
1248,81,9,8,65,2
1248,81,12,1,b6,81
1248,81,12,2,1f,3
1248,81,12,3,89,3
1248,81,12,4,8c,3
1248,81,12,5,d2,3
1248,81,12,6,50,2
1248,81,12,7,5f,2
1248,81,12,8,6f,2
2481,79,2,1,f9,79
2481,79,2,2,0a,2
2481,79,2,3,14,2
2481,79,2,4,35,2
2481,79,2,5,4b,2
2481,79,2,6,53,2
2481,79,2,7,6f,2
2481,79,2,8,99,2
2481,79,5,1,ee,79
2481,79,5,2,f8,4
2481,79,5,3,16,2
2481,79,5,4,18,2
2481,79,5,5,38,2
2481,79,5,6,3b,2
2481,79,5,7,44,2
2481,79,5,8,5b,2
2481,79,8,1,e1,79
2481,79,8,2,01,2
2481,79,8,3,19,2
2481,79,8,4,22,2
2481,79,8,5,35,2
2481,79,8,6,44,2
2481,79,8,7,60,2
2481,79,8,8,7e,2
2481,79,15,1,a6,79
2481,79,15,2,6a,3
2481,79,15,3,06,2
2481,79,15,4,21,2
2481,79,15,5,6b,2
2481,79,15,6,6c,2
2481,79,15,7,92,2
2481,79,15,8,97,2
8124,67,0,1,d0,67
8124,67,0,2,11,2
8124,67,0,3,51,2
8124,67,0,4,c7,2
8124,67,0,5,01,1
8124,67,0,6,02,1
8124,67,0,7,0f,1
8124,67,0,8,14,1
8124,67,7,1,89,67
8124,67,7,2,44,3
8124,67,7,3,0e,2
8124,67,7,4,2e,2
8124,67,7,5,37,2
8124,67,7,6,39,2
8124,67,7,7,53,2
8124,67,7,8,9c,2
8124,67,10,1,0c,67
8124,67,10,2,25,2
8124,67,10,3,4f,2
8124,67,10,4,89,2
8124,67,10,5,ea,2
8124,67,10,6,fc,2
8124,67,10,7,01,1
8124,67,10,8,07,1
8124,67,13,1,63,67
8124,67,13,2,4f,2
8124,67,13,3,52,2
8124,67,13,4,6c,2
8124,67,13,5,79,2
8124,67,13,6,a2,2
8124,67,13,7,af,2
8124,67,13,8,d5,2
