mask,samples,byte_pos,rank,candidate,score
4812,71,1,1,14,71
4812,71,1,2,8a,3
4812,71,1,3,2b,2
4812,71,1,4,35,2
4812,71,1,5,4b,2
4812,71,1,6,4e,2
4812,71,1,7,94,2
4812,71,1,8,b1,2
4812,71,4,1,c9,71
4812,71,4,2,11,3
4812,71,4,3,4c,3
4812,71,4,4,22,2
4812,71,4,5,29,2
4812,71,4,6,33,2
4812,71,4,7,8b,2
4812,71,4,8,9d,2
4812,71,11,1,c8,71
4812,71,11,2,b0,3
4812,71,11,3,00,2
4812,71,11,4,61,2
4812,71,11,5,7a,2
4812,71,11,6,8e,2
4812,71,11,7,96,2
4812,71,11,8,ac,2
4812,71,14,1,0c,71
4812,71,14,2,1e,3
4812,71,14,3,3a,3
4812,71,14,4,0d,2
4812,71,14,5,3c,2
4812,71,14,6,44,2
4812,71,14,7,4d,2
4812,71,14,8,71,2
1248,63,3,1,a8,63
1248,63,3,2,05,2
1248,63,3,3,08,2
1248,63,3,4,57,2
1248,63,3,5,82,2
1248,63,3,6,b1,2
1248,63,3,7,b9,2
1248,63,3,8,c2,2
1248,63,6,1,25,63
1248,63,6,2,75,2
1248,63,6,3,80,2
1248,63,6,4,8d,2
1248,63,6,5,a8,2
1248,63,6,6,f1,2
1248,63,6,7,01,1
1248,63,6,8,04,1
1248,63,9,1,3f,63
1248,63,9,2,00,2
1248,63,9,3,0e,2
1248,63,9,4,68,2
1248,63,9,5,8f,2
1248,63,9,6,96,2
1248,63,9,7,f4,2
1248,63,9,8,09,1
1248,63,12,1,b6,63
1248,63,12,2,7e,2
1248,63,12,3,90,2
1248,63,12,4,bb,2
1248,63,12,5,c5,2
1248,63,12,6,cf,2
1248,63,12,7,f2,2
1248,63,12,8,05,1
8124,54,0,1,d0,54
8124,54,0,2,2d,3
8124,54,0,3,1f,2
8124,54,0,4,43,2
8124,54,0,5,5d,2
8124,54,0,6,01,1
8124,54,0,7,06,1
8124,54,0,8,08,1
8124,54,7,1,89,54
8124,54,7,2,33,2
8124,54,7,3,46,2
8124,54,7,4,48,2
8124,54,7,5,70,2
8124,54,7,6,85,2
8124,54,7,7,87,2
8124,54,7,8,0c,1
8124,54,10,1,0c,54
8124,54,10,2,3e,2
8124,54,10,3,75,2
8124,54,10,4,78,2
8124,54,10,5,92,2
8124,54,10,6,aa,2
8124,54,10,7,bc,2
8124,54,10,8,e9,2
8124,54,13,1,63,54
8124,54,13,2,90,3
8124,54,13,3,95,3
8124,54,13,4,51,2
8124,54,13,5,6f,2
8124,54,13,6,bd,2
8124,54,13,7,04,1
8124,54,13,8,06,1
2481,48,2,1,f9,48
2481,48,2,2,93,3
2481,48,2,3,0a,2
2481,48,2,4,2e,2
2481,48,2,5,5d,2
2481,48,2,6,66,2
2481,48,2,7,a8,2
2481,48,2,8,01,1
2481,48,5,1,ee,48
2481,48,5,2,0c,2
2481,48,5,3,03,1
2481,48,5,4,12,1
2481,48,5,5,15,1
2481,48,5,6,19,1
2481,48,5,7,20,1
2481,48,5,8,21,1
2481,48,8,1,e1,48
2481,48,8,2,e2,3
2481,48,8,3,5b,2
2481,48,8,4,62,2
2481,48,8,5,ba,2
2481,48,8,6,ca,2
2481,48,8,7,01,1
2481,48,8,8,08,1
2481,48,15,1,a6,48
2481,48,15,2,4f,2
2481,48,15,3,67,2
2481,48,15,4,92,2
2481,48,15,5,f3,2
2481,48,15,6,f4,2
2481,48,15,7,f7,2
2481,48,15,8,06,1
