model,display_name,sample_size,repeat_times,avg_correct_bytes,min_correct_bytes,max_correct_bytes,avg_recovery_rate,min_recovery_rate,max_recovery_rate
A_wide,模型A-宽随机,20,10,0.0,0,0,0.0,0.0,0.0
A_wide,模型A-宽随机,40,10,0.0,0,0,0.0,0.0,0.0
A_wide,模型A-宽随机,80,10,0.1,0,1,0.625,0.0,6.25
A_wide,模型A-宽随机,120,10,0.0,0,0,0.0,0.0,0.0
A_wide,模型A-宽随机,160,10,0.1,0,1,0.625,0.0,6.25
A_wide,模型A-宽随机,240,10,0.0,0,0,0.0,0.0,0.0
A_wide,模型A-宽随机,320,10,0.0,0,0,0.0,0.0,0.0
A_ctrl,模型A-受控HW,20,10,1.4,0,6,8.75,0.0,37.5
A_ctrl,模型A-受控HW,40,10,3.1,0,8,19.375,0.0,50.0
A_ctrl,模型A-受控HW,80,10,11.5,6,14,71.875,37.5,87.5
A_ctrl,模型A-受控HW,120,10,13.4,10,16,83.75,62.5,100.0
A_ctrl,模型A-受控HW,160,10,15.6,13,16,97.5,81.25,100.0
A_ctrl,模型A-受控HW,240,10,15.9,15,16,99.375,93.75,100.0
A_ctrl,模型A-受控HW,320,10,16.0,16,16,100.0,100.0,100.0
B,模型B,20,10,2.8,0,8,17.5,0.0,50.0
B,模型B,40,10,8.3,2,14,51.875,12.5,87.5
B,模型B,80,10,13.1,8,16,81.875,50.0,100.0
B,模型B,120,10,15.4,13,16,96.25,81.25,100.0
B,模型B,160,10,15.9,15,16,99.375,93.75,100.0
B,模型B,240,10,16.0,16,16,100.0,100.0,100.0
B,模型B,320,10,16.0,16,16,100.0,100.0,100.0
C,模型C,20,10,3.1,0,6,19.375,0.0,37.5
C,模型C,40,10,6.9,1,12,43.125,6.25,75.0
C,模型C,80,10,8.9,6,15,55.625,37.5,93.75
C,模型C,120,10,14.0,12,16,87.5,75.0,100.0
C,模型C,160,10,15.1,13,16,94.375,81.25,100.0
C,模型C,240,10,15.6,12,16,97.5,75.0,100.0
C,模型C,320,10,16.0,16,16,100.0,100.0,100.0
D,模型D,20,10,2.6,0,6,16.25,0.0,37.5
D,模型D,40,10,7.3,0,11,45.625,0.0,68.75
D,模型D,80,10,10.2,7,14,63.75,43.75,87.5
D,模型D,120,10,14.7,11,16,91.875,68.75,100.0
D,模型D,160,10,15.4,14,16,96.25,87.5,100.0
D,模型D,236,10,16.0,16,16,100.0,100.0,100.0
